Tipo Codigo;Dig 1-2;Dig 3-4-5-6;Dig 7-13;Codigo a Crear
Agricolas;AG;AGRI;1000001;AGAGRI1000003
Insumos Agricolas;IN;AGRI;1000001;INAGRI1000092
Insumos Laboratorio;IN;LABO;1000001;INLABO1000024
Insumos Productos;IN;PROD;1000001;INPROD1000001
Imp-Seguridad-Trabajo;IT;SEGU;1000001;ITSEGU1000030
Mat.Construccion (candados,palas, etc);MC;MACO;1000001;MCMACO1000011
Fluidos;MC;FLUI;1000001;MCFLUI1000003
Material Embalaje;ME;EMBA;1000001;MEEMBA1000101
Cajas;ME;CAJA;1000001;MECAJA1000001
Etiquetas Marrasquino;ME;MARR;1000001;MEMARR1000002
Films Tri;ME;FILMS;1000001;MEFILMS1000001
Etiquetas Autoadhesivas;ME;AUTO;1000001;MEAUTO1000025
Oficina;OF;ARTI;1000001;OFARTI1000008
Materiales Electricos;RE;ELEC;1000001;REELEC1000001
Materiales Repuestos;RE;REPU;1000001;REREPU1000990
Tuberias (PVC-Cemento);RE;TUBE;1000001;RETUBE1000001
Repuestos Gualapack;RE;GUAL;1000001;REGUAL1000001
Pegamentos;RE;ADHE;1000001;READHE1000001
Riles - Aguas;RE;RIAG;1000001;RERIAG1000001
Lubricantes-Spray-Siliconas;RE;LUBR;1000001;RELUBR1000001
Utililes Aseo - Varios;UA;ASEO;1000001;UAASEO1000001
Materias Primas Convencionales;MP;CONV;1000001;MPCONV1000001
Materias Primas Organicas;MP;ORGA;1000001;MPORGA1000004
Materias Primas Otros;MP;OTRO;1000001;MPOTRO1000001
Lata De Conservas;LB;LBR1;1000001;LBLBR11000001
Petroleo y Energia;CB;CBPE;1000001;CBPE1000001
Tapas;ME;TAPA;1000001;METAPA1000001
Doypack;ME;DOYP;1000001;MEDOYP1000056
Tarros;ME;TARR;1000001;METARR1000001
Compost (11911);;;;HTMP053410000
Bosques AAM-Romeral;;;;HTMP053500000
Bosques;;;;HTMP053510000
Praderas;;;;HTMP053520000
Caracoles;;;;HTMP053600000
Caracoles desarrollo;;;;HTMP053610000
Lombrices;;;;HTMP053700000
Zapallito Butter-Nut;;;;HTMP070010000
Zapallito Sunsed Org Pro;;;;HTMP070020000
Avena Vicia y Nehuen;;;;HTMP080010000
Zanahoria;;;;HTMP100010000
Betarraga;;;;HTMP110010000
Maqui;;;;HTMP120010000
Maiz Semillero;;;;HTMP130010000
Berries en Desarrollo;;;;HTMP140010000
Mora;;;;HTMP150010000
Frambuesa Heritage;;;;HTMP160010000
Cereza Frisco;;;;HTMP024000000
cereza Rocket;;;;HTMP025000000
